Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp,UPS_Name
2025-05-24,00:54:39,223,230,2725,60.0,60.0,18,23,UPS_7F
2025-05-24,01:54:39,223,229,2728,60.0,60.0,19,23,UPS_7F
2025-05-24,02:54:40,224,230,2731,59.9,60.0,18,23,UPS_7F
2025-05-24,03:54:41,226,230,2725,60.0,60.0,18,23,UPS_7F
2025-05-24,04:54:41,226,230,2734,59.9,60.0,18,19,UPS_7F
2025-05-24,05:54:41,227,230,2728,60.0,60.0,18,18,UPS_7F
2025-05-24,06:54:41,225,229,2728,59.9,60.0,18,18,UPS_7F
2025-05-24,07:54:41,224,230,2725,60.0,60.0,18,19,UPS_7F
2025-05-24,08:54:41,226,230,2725,59.9,60.0,19,19,UPS_7F
2025-05-24,09:54:41,225,230,2722,59.9,60.0,19,19,UPS_7F
2025-05-24,10:54:42,224,230,2728,59.9,60.0,18,19,UPS_7F
2025-05-24,11:54:42,225,230,2731,60.0,60.0,18,19,UPS_7F
2025-05-24,12:54:44,226,230,2731,60.0,60.0,19,19,UPS_7F
2025-05-24,13:54:44,225,230,2725,60.0,60.0,18,19,UPS_7F
2025-05-24,14:54:45,226,230,2725,60.0,60.0,18,19,UPS_7F
2025-05-24,15:54:45,227,230,2728,60.0,60.0,18,19,UPS_7F
2025-05-24,16:54:46,228,230,2725,59.9,60.0,18,24,UPS_7F
2025-05-24,17:54:46,228,230,2725,60.0,60.0,19,23,UPS_7F
2025-05-24,18:54:47,225,230,2725,59.9,60.0,18,24,UPS_7F
2025-05-24,19:54:48,226,230,2725,59.9,60.0,19,23,UPS_7F
2025-05-24,20:54:48,226,230,2734,60.0,60.0,19,23,UPS_7F
2025-05-24,21:54:48,225,230,2728,60.0,60.0,18,23,UPS_7F
2025-05-24,22:54:49,226,230,2725,60.0,60.0,18,23,UPS_7F
2025-05-24,23:54:49,224,230,2728,60.0,60.0,19,23,UPS_7F
2025-05-25,00:54:50,225,230,2725,60.0,60.0,19,23,UPS_7F
2025-05-25,01:54:50,227,230,2731,60.0,60.0,18,23,UPS_7F
2025-05-25,02:54:52,227,230,2731,60.0,60.0,18,23,UPS_7F
2025-05-25,03:54:53,227,229,2725,59.9,60.0,18,23,UPS_7F
2025-05-25,04:54:53,227,230,2725,60.0,60.0,18,19,UPS_7F
2025-05-25,05:54:53,227,230,2728,59.9,60.0,18,18,UPS_7F
2025-05-25,06:54:54,227,230,2725,59.9,60.0,19,18,UPS_7F
